Carimbo de data/hora,Esporte referente,O esporte é:,Sobre o adversário,Características específicas (marque todas que o esporte atende),Objetivos que o esporte atende (marque todas que o esporte atende),Quais regiões do corpo o esporte desenvolve? (marque todas que o esporte atende),Qual o tempo médio por sessão de treino?,Local onde ocorre o treino,O esporte utiliza materiais?,Contra indicações à doenças
1/29/2021 20:44:12,Futebol,Coletivo,com contato com o adversário,"é competitivo, reduz o colesterol, melhora a imunidade","melhora a coordenação motora, melhora o condicionamento físico / parte aeróbica, faz emagrecer / queimar gordura, aumenta a massa muscular / força, promove a interação com os outros / socialização, melhora a circulação sanguinea, treinar para competir","abdômen, membros inferiores / glúteos",1h - 2h,aberto,utiliza equipamentos,"doenças cardíacas, problemas ósseos ou articulares"
1/29/2021 20:46:17,Voleibol ,Coletivo,sem contato com o adversário,"melhora o sono, é competitivo, reduz o colesterol, desenvolve a concentração, melhora a imunidade","melhora a coordenação motora, melhora o condicionamento físico / parte aeróbica, faz emagrecer / queimar gordura, aumenta a massa muscular / força, promove a interação com os outros / socialização, melhora a respiração, melhora a circulação sanguinea, treinar para competir","Membros superiores / costas, abdômen, membros inferiores / glúteos, corpo como um todo",1h - 2h,fechado,utiliza equipamentos,problemas ósseos ou articulares
1/29/2021 20:47:36,Tenis de Mesa,Coletivo,sem contato com o adversário,"baixo impacto, melhora o sono, é competitivo, reduz o colesterol, desenvolve a concentração, melhora a imunidade","melhora a coordenação motora, melhora o condicionamento físico / parte aeróbica, faz emagrecer / queimar gordura, melhora a respiração, melhora a circulação sanguinea","Membros superiores / costas, abdômen, membros inferiores / glúteos, corpo como um todo",30min - 60min,fechado,utiliza equipamentos,
1/29/2021 20:48:49,Natacao ,Individual,sem contato com o adversário,"baixo impacto, melhora o sono, é competitivo, é feito na água, reduz o colesterol, melhora a imunidade","melhora a coordenação motora, melhora o condicionamento físico / parte aeróbica, faz emagrecer / queimar gordura, aumenta a massa muscular / força, ajuda a relaxar / alivia o stress, melhora a respiração, melhora a circulação sanguinea, treinar para competir","Membros superiores / costas, abdômen, membros inferiores / glúteos, corpo como um todo",30min - 60min,qualquer,somente o corpo,
1/29/2021 20:50:41,Futsal ,Coletivo,com contato com o adversário,"melhora o sono, é competitivo, reduz o colesterol, melhora a imunidade","melhora a coordenação motora, melhora o condicionamento físico / parte aeróbica, faz emagrecer / queimar gordura, aumenta a massa muscular / força, ajuda a relaxar / alivia o stress, promove a interação com os outros / socialização, melhora a respiração, melhora a circulação sanguinea, treinar para competir","abdômen, membros inferiores / glúteos",30min - 60min,fechado,utiliza equipamentos,"pressão baixa, doenças cardíacas, osteoporose, tonturas, problemas ósseos ou articulares"
1/29/2021 20:54:39,Corrida ,Individual,sem contato com o adversário,"melhora o sono, tem contato com a natureza, é competitivo, reduz o colesterol, é desafiador/aventura, desenvolve a concentração, melhora a imunidade, melhora a flacidez/celulite","melhora o condicionamento físico / parte aeróbica, faz emagrecer / queimar gordura, ajuda a relaxar / alivia o stress, melhora a respiração, melhora a circulação sanguinea, treinar para competir","abdômen, membros inferiores / glúteos",30min - 60min,qualquer,somente o corpo,"doenças cardíacas, osteoporose, tonturas, problemas ósseos ou articulares"
1/29/2021 20:55:37,SKATE ,Individual,sem contato com o adversário,"é desafiador/aventura, desenvolve o equilíbrio, desenvolve a concentração","melhora a coordenação motora, melhora o condicionamento físico / parte aeróbica, faz emagrecer / queimar gordura, melhora a circulação sanguinea, treinar para competir","abdômen, membros inferiores / glúteos",30min - 60min,qualquer,utiliza equipamentos,"osteoporose, tonturas, problemas ósseos ou articulares"
1/29/2021 20:56:53,Surfe ,Individual,sem contato com o adversário,"baixo impacto, melhora o sono, tem contato com a natureza, é competitivo, é feito na água, reduz o colesterol, é desafiador/aventura, desenvolve o equilíbrio, desenvolve a concentração, melhora a imunidade, melhora a postura","melhora a coordenação motora, melhora o condicionamento físico / parte aeróbica, faz emagrecer / queimar gordura, ajuda a relaxar / alivia o stress, melhora a respiração, melhora a circulação sanguinea, treinar para competir","Membros superiores / costas, abdômen, membros inferiores / glúteos, corpo como um todo",1h - 2h,aberto,utiliza equipamentos,"pressão baixa, tonturas, problemas ósseos ou articulares"
1/29/2021 20:57:55,Judo ,Individual,com contato com o adversário,"melhora o sono, é competitivo, reduz o colesterol, desenvolve o equilíbrio, desenvolve a concentração, melhora a imunidade, melhora a postura","melhora a coordenação motora, melhora o condicionamento físico / parte aeróbica, faz emagrecer / queimar gordura, aumenta a massa muscular / força, melhora a respiração, melhora a circulação sanguinea, treinar para competir","Membros superiores / costas, abdômen, membros inferiores / glúteos, corpo como um todo",30min - 60min,fechado,somente o corpo,"pressão baixa, osteoporose, tonturas, problemas ósseos ou articulares"
1/29/2021 20:59:00,Musculacao ,Individual,sem contato com o adversário,"baixo impacto, melhora o sono, reduz o colesterol, melhora a imunidade, melhora a postura, melhora a flacidez/celulite","melhora a coordenação motora, melhora o condicionamento físico / parte aeróbica, faz emagrecer / queimar gordura, aumenta a massa muscular / força, ajuda a relaxar / alivia o stress, melhora a respiração, melhora a circulação sanguinea","Membros superiores / costas, abdômen, membros inferiores / glúteos, corpo como um todo",30min - 60min,fechado,utiliza equipamentos,
